customer_id,signup_date,region,acquisition_channel,age_group,preferred_payment_type,customer_segment,device_type,email_opt_in,churned_flag,total_orders,first_purchase_value,is_returning_flag,true_clv
CUST00030,2022-05-01,North,organic,46-60,UPI,Bronze,mobile,True,True,2,561.62,True,17175.07
CUST00031,2022-05-09,North,social,18-25,wallet,Bronze,mobile,False,True,0,1188.3,False,21146.5
CUST00032,2021-09-06,North,social,26-35,UPI,Bronze,mobile,False,True,2,165.48,True,19155.93
CUST00033,2021-04-11,East,social,18-25,UPI,Silver,desktop,False,True,5,1720.75,True,25143.34
CUST00034,2022-08-31,North,organic,26-35,COD,Silver,mobile,True,True,7,349.62,True,21895.71
CUST00035,2023-08-31,South,social,36-45,COD,Bronze,mobile,True,False,4,967.27,True,20689.45
CUST00036,2021-03-11,Northeast,paid_ads,46-60,netbanking,Bronze,desktop,True,True,0,731.6,False,18777.52
CUST00037,2023-07-29,East,social,26-35,card,Bronze,mobile,False,True,3,1016.61,True,17652.07
CUST00038,2023-06-26,Central,paid_ads,18-25,COD,Bronze,mobile,True,False,1,194.23,False,16216.65
CUST00039,2021-10-31,North,social,18-25,wallet,Bronze,tablet,False,False,0,1153.0,False,15255.9
CUST00040,2022-11-23,South,email,26-35,card,Bronze,mobile,True,True,1,778.76,False,14059.79
CUST00041,2021-06-30,Northeast,organic,,card,Bronze,tablet,False,True,1,1096.1,True,18602.17
CUST00042,2023-04-11,East,social,,card,Silver,desktop,True,True,3,1227.76,True,18747.35
CUST00043,2023-02-07,West,referral,18-25,COD,BRONZE,mobile,True,True,2,211.42,True,18968.65
CUST00044,2022-01-24,Northeast,paid_ads,36-45,UPI,Silver,mobile,True,False,2,775.55,True,18592.49
CUST00045,2021-03-16,West,paid_ads,26-35,card,Gold,mobile,False,True,3,1144.23,True,24469.2
CUST00046,2023-11-29,South,social,46-60,card,Bronze,mobile,True,True,3,749.93,True,15910.55
CUST00047,2022-05-04,East,paid_ads,46-60,COD,Bronze,mobile,False,True,3,455.04,True,19197.04
CUST00048,2023-09-05,North,organic,46-60,UPI,Silver,mobile,False,True,6,321.26,True,23899.12
CUST00049,2023-01-13,North,social,26-35,COD,Bronze,desktop,True,True,2,1713.05,True,15298.98
CUST00050,2023-05-03,North,referral,26-35,card,Silver,desktop,True,True,7,353.06,True,20539.9
CUST00051,2023-04-13,Central,social,18-25,netbanking,Silver,desktop,True,True,1,502.54,False,16022.93
CUST00052,2021-08-02,West,referral,26-35,card,Platinum,desktop,True,False,7,689.05,True,28945.07
CUST00053,2022-02-03,South,referral,36-45,UPI,Platinum,mobile,False,False,7,924.95,True,30091.32
CUST00054,2022-05-27,South,social,60+,netbanking,Bronze,mobile,True,True,2,498.27,True,11149.81
CUST00055,2022-06-30,West,organic,36-45,UPI,Gold,mobile,False,False,3,1408.35,True,23690.7
CUST00056,2021-02-17,Central,paid_ads,26-35,UPI,Bronze,desktop,False,False,3,879.24,True,17873.37
CUST00057,2022-08-22,South,referral,26-35,UPI,Silver,desktop,True,False,0,885.87,False,16256.89
CUST00058,2021-06-18,South,email,36-45,wallet,Silver,desktop,False,False,1,1269.01,False,22829.1
CUST00059,2023-03-25,Central,paid_ads,18-25,UPI,Bronze,desktop,False,False,0,383.01,False,15329.61
CUST00060,2023-01-18,Central,email,18-25,UPI,Bronze,mobile,False,True,4,380.24,True,23305.43
CUST00061,2023-10-08,Central,social,,card,Gold,mobile,False,True,8,489.87,True,23079.72
CUST00062,2023-03-27,South,paid_ads,46-60,netbanking,Bronze,mobile,True,False,1,986.52,False,11836.31
CUST00063,2022-02-06,North,paid_ads,26-35,COD,Silver,mobile,True,False,7,1068.29,True,24097.94
CUST00064,2023-11-26,East,organic,46-60,COD,Platinum,mobile,True,True,3,479.54,True,23054.12
CUST00065,2022-03-26,South,referral,26-35,COD,Bronze,mobile,True,False,2,627.68,True,13323.76
CUST00066,2021-12-23,Central,organic,,UPI,Bronze,tablet,True,True,6,903.0,True,22784.29
CUST00067,2023-09-19,North,paid_ads,46-60,card,Bronze,mobile,True,True,4,1268.63,True,16265.53
CUST00068,2022-02-10,West,organic,46-60,card,Bronze,mobile,True,True,4,924.8,True,20811.35
CUST00069,2021-03-25,Central,email,18-25,COD,Bronze,mobile,True,True,1,449.21,False,15973.47
CUST00070,2022-05-30,Northeast,paid_ads,18-25,UPI,Silver,tablet,True,False,10,239.58,True,25568.02
CUST00071,2023-05-22,West,paid_ads,18-25,card,Silver,mobile,True,False,3,243.19,True,20048.09
CUST00072,2021-07-27,Northeast,paid_ads,26-35,card,Gold,desktop,True,True,2,680.68,True,22772.63
CUST00073,2022-05-22,North,organic,18-25,netbanking,Bronze,mobile,False,False,1,2343.51,False,20715.23
CUST00074,2021-05-23,South,paid_ads,36-45,card,Silver,mobile,True,True,3,657.0,True,22566.74
CUST00075,2023-01-22,North,social,26-35,UPI,Gold,mobile,False,False,10,133.64,True,24812.81
CUST00076,2022-06-05,Northeast,referral,60+,wallet,silver ,desktop,True,False,6,207.74,True,18356.59
CUST00077,2021-12-28,Central,paid_ads,46-60,UPI,Silver,mobile,False,True,6,3353.04,True,22475.29
CUST00078,2021-09-06,North,social,36-45,card,Silver,mobile,True,True,5,269.1,True,25931.13
CUST00079,2022-09-11,North,organic,36-45,UPI,Gold,desktop,False,True,7,774.53,True,21747.88
CUST00080,2023-01-04,South,social,,UPI,Bronze,desktop,False,False,1,534.96,False,16503.5
CUST00081,2023-10-27,South,organic,18-25,card,Bronze,mobile,False,True,7,486.08,True,23639.26
CUST00082,2022-04-24,Central,social,26-35,UPI,Bronze,tablet,False,True,3,754.77,True,14758.93
CUST00083,2021-06-25,North,email,46-60,COD,Silver,tablet,False,False,6,333.68,True,27647.73
CUST00084,2023-07-01,Central,social,18-25,wallet,Silver,mobile,False,False,4,1018.96,True,21782.59
CUST00085,2022-11-21,West,organic,26-35,card,Silver,mobile,True,True,6,606.77,True,25290.99
CUST00086,2023-02-06,South,referral,46-60,card,Bronze,mobile,True,True,1,193.16,False,16288.06
CUST00087,2021-04-17,North,social,26-35,UPI,Platinum,desktop,False,False,8,495.7,True,24656.89
CUST00088,2021-12-09,Northeast,referral,46-60,card,Silver,mobile,True,False,5,476.42,True,23355.17
CUST00089,2023-04-21,West,paid_ads,46-60,card,Bronze,mobile,True,True,2,487.23,True,16449.63
CUST00090,2023-07-01,East,paid_ads,18-25,card,Silver,desktop,False,True,1,550.83,False,17726.48
CUST00091,2022-04-22,South,organic,36-45,card,Bronze,mobile,True,True,4,579.53,True,16872.48
CUST00092,2023-06-01,Central,paid_ads,18-25,UPI,Gold,mobile,True,False,7,828.75,True,23635.14
CUST00093,2023-07-11,Central,organic,26-35,card,Silver,mobile,True,True,2,596.85,True,17189.41
CUST00094,2022-03-01,Central,referral,46-60,card,Bronze,mobile,True,False,6,254.38,True,17726.97
CUST00095,2023-09-11,West,paid_ads,18-25,card,Bronze,mobile,True,True,4,963.72,True,16167.5
CUST00096,2021-11-12,Central,organic,46-60,UPI,Bronze,mobile,False,True,6,438.96,True,18255.37
CUST00097,2021-09-20,South,organic,60+,UPI,Silver,mobile,False,False,3,370.95,True,18170.77
CUST00098,2023-01-18,West,email,36-45,card,Silver,mobile,True,False,4,1070.76,True,19455.29
CUST00099,2022-11-29,East,referral,26-35,UPI,Bronze,mobile,True,True,2,181.99,True,21092.55
CUST00100,2021-06-03,West,referral,26-35,card,Silver,mobile,True,False,7,350.35,True,26511.12
CUST00101,2023-07-01,Northeast,social,,COD,Bronze,desktop,False,False,1,172.81,False,13455.96
CUST00102,2021-08-07,Northeast,referral,18-25,UPI,Bronze,mobile,True,True,6,1024.96,True,18013.3
CUST00103,2023-06-01,East,paid_ads,18-25,wallet,Bronze,desktop,True,True,0,1110.67,False,18386.38
CUST00104,2021-01-09,West,referral,18-25,wallet,Bronze,mobile,False,True,9,2230.83,True,24100.22
CUST00105,2023-05-23,Central,organic,36-45,UPI,Gold,mobile,True,False,5,566.74,True,22533.87
CUST00106,2023-05-12,Northeast,referral,18-25,UPI,Silver,mobile,True,True,5,1104.85,True,23621.53
CUST00107,2023-05-05,Central,organic,26-35,UPI,Platinum,mobile,False,False,3,165.21,True,22152.65
CUST00108,2022-12-30,North,email,36-45,UPI,Silver,mobile,True,True,6,2155.11,True,20566.5
CUST00109,2022-06-01,South,paid_ads,18-25,UPI,Bronze,mobile,False,False,3,508.91,True,20476.46
CUST00110,2023-02-12,Central,organic,26-35,card,Bronze,mobile,True,True,1,1800.03,False,17547.97
CUST00111,2021-10-31,Central,referral,18-25,UPI,Silver,tablet,True,True,4,647.29,True,18262.28
CUST00112,2023-05-05,Central,organic,18-25,UPI,Bronze,mobile,True,True,4,716.17,True,17918.71
CUST00113,2022-09-01,West,paid_ads,26-35,card,SILVER,mobile,True,True,2,543.95,True,17886.07
CUST00114,2022-05-18,East,social,18-25,COD,Gold,mobile,True,True,6,490.4,True,23436.19
CUST00115,2022-07-08,East,social,26-35,card,Bronze,mobile,False,True,1,1808.57,False,17803.98
CUST00116,2022-09-15,Central,social,18-25,card,Gold,desktop,True,True,4,284.79,True,22078.66
CUST00117,2021-02-10,South,paid_ads,26-35,wallet,Platinum,mobile,False,True,9,1638.59,True,27700.0
CUST00118,2021-06-03,West,paid_ads,36-45,COD,Bronze,mobile,False,True,6,724.52,True,19026.32
CUST00119,2021-09-26,Central,organic,36-45,UPI,Silver,mobile,False,True,3,628.87,True,24312.7
CUST00120,2021-05-06,Central,referral,26-35,UPI,Bronze,desktop,False,False,1,933.53,False,20003.46
CUST00121,2022-04-27,South,referral,46-60,card,Bronze,mobile,False,False,3,389.71,True,21967.88
CUST00122,2023-01-02,Central,organic,36-45,netbanking,Bronze,mobile,False,True,4,1211.21,True,18195.0
CUST00123,2022-12-18,North,organic,36-45,wallet,Bronze,mobile,True,True,3,1452.58,True,22653.65
CUST00124,2022-05-31,North,organic,26-35,card,Gold,mobile,True,False,3,528.98,True,22261.94
CUST00125,2023-07-26,East,organic,18-25,wallet,GOLD,mobile,True,True,2,1275.75,True,21937.4
CUST00126,2022-09-11,North,organic,26-35,card,Bronze,mobile,False,True,1,363.36,False,16012.66
CUST00127,2021-03-28,Northeast,paid_ads,26-35,UPI, Bronze,desktop,False,True,3,1196.33,True,22300.45
CUST00128,2023-04-18,Central,paid_ads,60+,UPI, Gold,mobile,True,False,7,2381.01,True,22230.78
CUST00129,2022-09-22,North,paid_ads,60+,wallet, Gold,tablet,False,False,5,659.21,True,23916.62
CUST00130,2022-11-27,Central,organic,18-25,netbanking,Bronze,mobile,False,True,2,1759.66,True,24642.42
CUST00131,2022-09-12,East,referral,60+,UPI,Gold,mobile,True,True,4,1920.18,True,27913.16
CUST00132,2022-08-30,West,social,36-45,wallet,Gold,mobile,True,False,6,369.66,True,26596.19
CUST00133,2021-04-10,Central,paid_ads,36-45,wallet,Bronze,desktop,True,True,5,523.21,True,23789.7
CUST00134,2022-09-05,West,paid_ads,46-60,card,Silver,mobile,True,False,2,1905.68,True,17279.72
CUST00135,2023-05-21,North,referral,26-35,wallet,Bronze,mobile,True,False,4,749.15,True,20327.24
CUST00136,2021-11-29,North,organic,26-35,COD,Bronze,desktop,True,True,1,835.77,False,13559.8
CUST00137,2022-10-23,East,paid_ads,46-60,UPI,Silver,tablet,True,True,3,1256.36,True,18775.62
CUST00138,2021-02-03,Northeast,paid_ads,18-25,UPI,Bronze,mobile,True,True,4,520.52,True,19979.12
CUST00139,2022-01-16,West,paid_ads,36-45,wallet,GOLD,mobile,True,False,12,669.14,True,25355.52
CUST00140,2022-04-24,South,social,46-60,COD,Silver,desktop,False,False,4,706.64,True,21965.74
CUST00141,2023-12-13,North,social,46-60,card,Gold,mobile,False,True,0,492.11,False,18693.87
CUST00142,2021-08-23,Central,paid_ads,18-25,card,Silver,tablet,False,True,3,283.83,True,22118.86
CUST00143,2021-10-30,South,paid_ads,36-45,wallet,Silver,desktop,False,True,2,1117.69,True,16846.69
CUST00144,2022-03-24,West,email,18-25,card,Silver,desktop,False,False,9,1112.63,True,25945.72
CUST00145,2023-12-23,West,paid_ads,46-60,COD,Bronze,mobile,True,False,1,1167.24,False,13427.68
CUST00146,2023-07-24,South,email,26-35,UPI,Bronze,tablet,False,False,8,376.6,True,19965.71
CUST00147,2021-02-07,North,social,36-45,card,Bronze,desktop,False,False,2,1295.92,True,17631.94
CUST00148,2021-09-14,East,organic,46-60,wallet, Silver,mobile,True,False,0,483.43,False,19214.62
CUST00149,2023-06-19,South,organic,26-35,card, Gold,desktop,False,True,3,453.9,True,21342.14
CUST00150,2021-03-05,West,organic,26-35,UPI,Bronze,desktop,True,True,5,362.34,True,23158.57
CUST00151,2023-07-26,Central,social,26-35,UPI,Bronze,mobile,False,False,5,1012.66,False,23855.47
CUST00152,2021-11-05,South,paid_ads,36-45,COD,Gold,desktop,False,True,1,1884.72,False,20460.71
CUST00153,2023-10-02,East,referral,36-45,card,Silver,mobile,True,False,1,471.69,False,20621.18
CUST00154,2021-11-18,North,referral,46-60,wallet,Bronze,mobile,False,True,3,617.52,True,26612.79
CUST00155,2022-04-21,South,social,18-25,netbanking,Bronze,mobile,True,False,8,528.96,True,23809.31
CUST00156,2022-12-26,Central,social,26-35,UPI,Bronze,mobile,True,True,8,169.29,True,20291.17
CUST00157,2021-05-19,Central,organic,26-35,card,Bronze,mobile,False,True,4,985.66,True,20820.34
CUST00158,2022-09-02,Central,paid_ads,18-25,card,Silver,desktop,True,True,3,747.38,True,18648.83
CUST00159,2022-07-07,North,referral,36-45,UPI,Bronze,mobile,True,True,4,636.08,True,19970.85
CUST00160,2023-05-09,West,social,26-35,UPI,Gold,mobile,True,False,5,1878.27,True,21983.25
CUST00161,2023-12-27,East,social,18-25,UPI,Silver,desktop,True,True,2,476.56,True,21121.89
CUST00162,2022-12-29,Northeast,referral,36-45,UPI,Bronze,desktop,False,False,3,212.96,True,14013.69
CUST00163,2022-03-25,West,social,26-35,wallet,PLATINUM,mobile,True,True,9,1000.72,True,28522.37
CUST00164,2022-03-21,Northeast,paid_ads,36-45,UPI,platinum ,mobile,True,False,9,1208.91,True,20701.82
CUST00165,2022-04-03,North,organic,18-25,wallet,Platinum,mobile,False,False,2,1292.89,True,20716.27
CUST00166,2023-06-11,East,social,18-25,card,Bronze,mobile,False,False,2,375.49,True,15092.93
CUST00167,2021-12-18,Central,referral,,UPI,Silver,tablet,True,False,9,794.64,True,27005.02
CUST00168,2021-07-02,South,social,26-35,COD,Silver,mobile,False,True,4,1280.33,True,17458.02
CUST00169,2022-01-02,West,paid_ads,36-45,wallet,Bronze,mobile,False,False,4,818.5,True,17940.85
CUST00170,2021-01-25,East,referral,36-45,card,Silver,tablet,True,True,3,518.33,True,19425.69
CUST00171,2021-04-27,Northeast,paid_ads,18-25,card,Silver,mobile,True,False,1,456.87,False,14238.72
CUST00172,2021-04-09,North,paid_ads,36-45,wallet,Bronze,mobile,True,False,5,563.65,True,18310.56
CUST00173,2023-04-25,Northeast,organic,26-35,UPI,Silver,mobile,False,True,2,763.37,True,18232.97
CUST00174,2023-03-02,East,social,46-60,UPI,Platinum,mobile,True,True,7,1101.43,True,28115.57
CUST00175,2023-02-02,East,paid_ads,26-35,card,Silver,desktop,False,True,2,1184.88,True,17651.23
CUST00176,2022-05-21,East,paid_ads,36-45,UPI,Gold,mobile,True,False,5,657.5,True,21306.89
CUST00177,2023-02-25,South,paid_ads,36-45,card,Bronze,mobile,True,True,1,506.2,False,14787.93
CUST00178,2021-06-26,Northeast,paid_ads,36-45,card,Silver,tablet,False,True,7,668.83,True,22791.43
CUST00179,2023-09-14,Central,referral,26-35,UPI,Silver,mobile,False,True,4,567.39,True,22667.42
CUST00180,2022-07-03,Northeast,social,18-25,COD,Bronze,desktop,True,False,1,960.5,False,20853.07
CUST00181,2023-10-25,Northeast,referral,18-25,COD,Bronze,mobile,True,True,0,232.39,False,14551.02
CUST00182,2021-06-16,West,paid_ads,46-60,card,Bronze,tablet,True,True,2,624.39,True,15722.88
CUST00183,2022-06-29,East,paid_ads,36-45,card,Silver,desktop,False,True,1,475.27,False,14969.39
CUST00184,2023-02-02,Central,organic,36-45,card,Bronze,mobile,True,True,8,1718.0,True,21364.8
CUST00185,2022-06-27,North,referral,,COD,Bronze,desktop,False,True,4,591.51,True,18345.25
CUST00186,2022-05-04,Central,social,18-25,card,Gold,mobile,True,True,7,3005.07,True,27068.92
CUST00187,2021-07-02,East,paid_ads,26-35,netbanking,Gold,desktop,False,False,8,970.34,True,19915.32
CUST00188,2022-02-22,West,email,36-45,wallet,Gold,desktop,False,True,6,1296.01,True,23352.08
CUST00189,2021-09-19,South,organic,18-25,COD,Silver,mobile,True,True,3,1318.88,True,14015.11
CUST00190,2021-11-27,South,social,46-60,card,Silver,desktop,True,True,5,1227.79,True,22410.11
CUST00191,2023-01-19,North,social,18-25,UPI,Silver,mobile,True,True,1,1037.49,False,14949.29
CUST00192,2022-11-22,East,social,36-45,card,Gold,mobile,True,True,4,1018.2,True,27298.8
CUST00193,2022-10-27,East,referral,26-35,wallet,Silver,mobile,True,True,2,119.77,True,20118.17
CUST00194,2022-02-01,South,organic,46-60,UPI,Bronze,mobile,False,True,0,270.77,False,13741.47
CUST00195,2023-11-17,South,social,46-60,COD,Silver,mobile,True,True,10,749.16,True,25728.87
CUST00196,2021-04-06,West,paid_ads,26-35,wallet,Silver,mobile,False,False,5,410.06,True,22305.16
CUST00197,2022-01-11,South,referral,26-35,netbanking,Silver,mobile,True,True,8,990.66,True,21264.44
CUST00198,2021-05-10,Central,organic,60+,UPI,Platinum,desktop,True,False,2,2797.29,True,21908.79
CUST00199,2022-01-07,North,organic,36-45,UPI,Bronze,tablet,True,True,5,237.55,True,24809.26
CUST00200,2023-11-20,West,email,18-25,card,Gold,mobile,False,False,4,742.96,True,23463.02
CUST00201,2022-02-06,North,paid_ads,36-45,card,Gold,mobile,False,False,1,775.39,False,23975.77
CUST00202,2023-09-22,East,paid_ads,26-35,card,Gold,mobile,True,False,4,678.87,True,22282.37
CUST00203,2022-06-27,West,organic,26-35,card,Silver,mobile,True,False,4,245.08,True,19024.67
CUST00204,2023-02-06,West,referral,46-60,card,Gold,desktop,False,True,4,873.03,True,19918.98
CUST00205,2022-05-16,East,social,,card,Gold,desktop,True,False,4,1280.31,True,19277.15
CUST00206,2021-10-19,East,email,18-25,card,Gold,mobile,True,True,1,990.06,False,17914.77
CUST00207,2023-04-17,South,referral,26-35,wallet,Silver,mobile,True,True,7,1028.38,True,23701.34
CUST00208,2023-11-28,East,paid_ads,26-35,UPI,Bronze,desktop,True,True,0,1576.95,False,12087.58
CUST00209,2021-10-16,South,organic,46-60,netbanking,SILVER,desktop,False,False,1,380.48,False,20238.13
CUST00210,2023-05-03,West,organic,46-60,UPI,Silver,mobile,False,True,8,713.42,True,21503.07
CUST00211,2021-10-13,East,referral,46-60,card,Platinum,mobile,False,True,2,1257.6,True,22785.44
CUST00212,2023-02-24,Central,email,18-25,COD,Silver,mobile,True,False,4,1524.21,True,19745.32
CUST00213,2023-05-14,East,organic,,COD,Gold,mobile,False,True,4,578.73,True,22783.39
CUST00214,2022-05-08,South,paid_ads,26-35,UPI,Silver,mobile,True,False,1,1604.75,False,16118.9
CUST00215,2023-03-18,South,referral,18-25,card,Silver,mobile,False,False,9,2131.49,True,23703.23
CUST00216,2021-10-26,North,referral,,COD,Gold,desktop,True,True,10,210.54,True,21009.01
CUST00217,2021-03-28,East,referral,26-35,netbanking,Bronze,mobile,False,True,2,772.61,True,16582.38
CUST00218,2021-04-16,Central,paid_ads,36-45,netbanking,Gold,mobile,True,True,6,988.21,True,18786.63
CUST00219,2022-05-05,Central,organic,36-45,UPI,Gold,mobile,True,True,3,584.89,True,21109.64
CUST00220,2023-09-16,East,paid_ads,36-45,card,Platinum,tablet,True,True,3,1141.33,True,25278.03
CUST00221,2021-05-20,South,paid_ads,18-25,UPI,Bronze,mobile,True,True,2,1406.38,True,13716.32
CUST00222,2022-05-15,Central,social,36-45,UPI,Gold,tablet,False,True,4,867.14,True,24486.42
CUST00223,2023-02-10,North,organic,26-35,card,Bronze,mobile,True,True,8,3528.19,True,24084.05
CUST00224,2021-08-10,East,paid_ads,26-35,card,Bronze,mobile,True,False,1,582.39,False,15264.44
CUST00225,2023-03-02,Central,email,36-45,netbanking,BRONZE,mobile,True,True,5,592.5,True,19121.48
CUST00226,2021-12-02,East,referral,46-60,card,Bronze,mobile,True,False,4,2133.46,True,19907.62
CUST00227,2023-06-05,North,organic,18-25,card,Bronze,mobile,False,True,3,275.18,True,19559.9
CUST00228,2022-09-27,South,email,46-60,UPI, Gold,desktop,True,False,4,1458.78,True,21626.24
CUST00229,2022-08-22,West,organic,36-45,netbanking,SILVER,mobile,True,True,6,1218.25,True,20962.01
CUST00230,2021-07-13,North,social,36-45,netbanking,Silver,mobile,True,False,4,586.21,True,25977.52
CUST00231,2022-05-23,West,organic,46-60,card,Gold,mobile,False,True,5,703.83,True,22683.8
CUST00232,2023-07-27,East,social,36-45,UPI,Gold,desktop,True,False,2,1948.72,True,12744.25
CUST00233,2021-01-22,South,organic,36-45,netbanking,Platinum,tablet,True,False,10,635.15,True,28717.27
CUST00234,2023-04-11,South,paid_ads,26-35,UPI,Gold,tablet,True,True,4,3356.12,True,20487.86
CUST00235,2022-06-24,Central,email,26-35,card,gold ,mobile,True,True,10,385.97,True,24312.35
CUST00236,2023-02-27,East,referral,46-60,wallet,Bronze,mobile,False,True,7,623.15,True,21554.53
CUST00237,2022-12-28,Central,organic,60+,UPI,Silver,desktop,True,False,1,1111.21,False,17436.24
CUST00238,2022-04-19,East,organic,36-45,UPI,Silver,desktop,True,True,3,291.94,True,21743.38
CUST00239,2021-12-04,North,organic,46-60,UPI,Bronze,mobile,True,True,3,1035.29,True,16372.48
CUST00240,2022-11-18,East,paid_ads,36-45,card,Bronze,desktop,False,True,2,375.44,True,17961.55
CUST00241,2021-06-03,East,referral,36-45,COD,Silver,mobile,False,False,2,483.47,True,20627.48
CUST00242,2022-10-02,East,paid_ads,26-35,UPI,PLATINUM,mobile,True,True,1,1460.76,False,21804.21
CUST00243,2021-04-14,Central,email,26-35,card,Silver,mobile,True,True,5,770.41,True,24358.0
CUST00244,2022-12-13,Central,social,,UPI,Gold,desktop,False,False,3,752.82,True,17908.87
CUST00245,2022-11-20,Central,email,26-35,wallet,Bronze,desktop,True,True,1,1809.88,False,16776.6
CUST00246,2021-04-03,West,referral,36-45,UPI,Bronze,desktop,True,False,1,329.43,False,17807.78
CUST00247,2023-04-10,West,paid_ads,60+,COD,Gold,mobile,True,True,7,220.32,True,23775.77
CUST00248,2022-04-01,West,referral,46-60,COD,Bronze,mobile,True,True,5,302.33,True,22071.22
CUST00249,2023-05-12,South,paid_ads,46-60,UPI,SILVER,mobile,True,True,2,1527.97,True,13955.94
CUST00250,2021-02-15,Central,organic,46-60,UPI,Bronze,mobile,True,True,2,921.78,True,22065.97
CUST00251,2021-07-16,Central,social,46-60,UPI,Bronze,mobile,False,True,6,1256.31,True,20711.9
CUST00252,2022-06-25,South,social,36-45,UPI,Silver,mobile,False,False,3,200.22,True,20471.41
CUST00253,2021-07-26,Central,paid_ads,26-35,UPI,Silver,tablet,True,True,1,660.4,False,14437.44
CUST00254,2021-12-28,Central,paid_ads,46-60,UPI,Bronze,mobile,False,False,1,1435.94,False,18705.1
CUST00255,2022-12-25,East,organic,26-35,COD,Gold,mobile,False,True,1,625.34,False,20935.69
CUST00256,2021-06-08,Central,referral,36-45,wallet,Bronze,mobile,True,False,9,1958.75,True,23133.02
CUST00257,2023-01-13,North,paid_ads,18-25,card,Silver,mobile,False,True,3,1503.19,True,18878.39
CUST00258,2021-04-24,North,social,26-35,netbanking,Silver,desktop,False,True,6,415.53,True,23471.5
CUST00259,2021-07-11,South,referral,26-35,netbanking,Silver,mobile,True,True,7,912.65,True,28111.78
CUST00260,2022-10-06,West,paid_ads,36-45,card,Silver,desktop,True,False,4,419.78,True,18693.32
CUST00261,2023-05-19,South,social,46-60,netbanking,Bronze,mobile,True,True,2,845.98,True,18811.12
CUST00262,2021-07-06,Northeast,email,18-25,UPI,Silver,mobile,True,False,1,1138.32,False,18075.82
CUST00263,2021-11-25,South,social,18-25,card, Bronze,mobile,True,False,1,849.31,False,17724.81
CUST00264,2023-10-11,South,paid_ads,46-60,wallet,Bronze,desktop,True,True,5,651.58,True,20846.67
CUST00265,2023-12-20,West,paid_ads,26-35,card,Bronze,mobile,False,False,1,537.19,False,12322.56
CUST00266,2022-09-29,North,referral,36-45,wallet,Silver,mobile,False,False,4,600.13,True,22107.2
